"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,6,0.05,0,5,1,0.6,3.10014760939549,2.04868916102818
150,6,0.05,0,5,1,0.6,2.67361621290834,2.03818511962891
200,6,0.05,0,5,1,0.6,2.5633871917854,2.12819835117885
250,6,0.05,0,5,1,0.6,2.73180058263381,2.10744367327009
50,9,0.05,0,5,1,0.6,3.04777592129938,2.06980514526367
150,9,0.05,0,5,1,0.6,2.51863349959468,1.92218290056501
200,9,0.05,0,5,1,0.6,2.56452567160738,2.00474984305246
250,9,0.05,0,5,1,0.6,2.82298037853639,2.34506116594587
50,3,0.1,0,5,1,0.6,2.60677158739837,1.8690436226981
150,3,0.1,0,5,1,0.6,3.05756159493605,2.31189945765904
200,3,0.1,0,5,1,0.6,3.30863842863483,2.75734492710658
250,3,0.1,0,5,1,0.6,2.87293011244429,2.46120180402483
50,6,0.1,0,5,1,0.6,2.76343688481891,1.90140151977539
150,6,0.1,0,5,1,0.6,2.60494923990822,2.07141821725028
200,6,0.1,0,5,1,0.6,3.16933034204261,2.42772075108119
250,6,0.1,0,5,1,0.6,3.69270158255025,3.15133285522461
50,9,0.1,0,5,1,0.6,2.80236960286193,2.02665219988142
150,9,0.1,0,5,1,0.6,3.16228460026725,2.61400004795619
200,9,0.1,0,5,1,0.6,3.19079853874695,2.72458921160017
250,9,0.1,0,5,1,0.6,3.20305223058452,2.51641191755022
50,3,0.01,0,1,0.6,0.8,3.82117830881712,2.73735700334821
150,3,0.01,0,1,0.6,0.8,3.35367906962435,2.22396578107561
200,3,0.01,0,1,0.6,0.8,3.2636461673096,2.16519110543387
250,3,0.01,0,1,0.6,0.8,3.17212443442345,2.09054783412388
50,6,0.01,0,1,0.6,0.8,3.79743150256827,2.71291351318359
150,6,0.01,0,1,0.6,0.8,3.38728122775471,2.24326542445592
200,6,0.01,0,1,0.6,0.8,3.28602143946867,2.16709082467215
250,6,0.01,0,1,0.6,0.8,3.11736173037127,2.01724243164062
50,9,0.01,0,1,0.6,0.8,3.80241937823836,2.72133146013532
150,9,0.01,0,1,0.6,0.8,3.41239887385631,2.28241784232003
200,9,0.01,0,1,0.6,0.8,3.27940149449611,2.14553996494838
250,9,0.01,0,1,0.6,0.8,3.10120522910281,1.99275153023856
50,3,0.05,0,1,0.6,0.8,3.20937921984782,2.07076154436384
150,3,0.05,0,1,0.6,0.8,2.7090725796279,2.02211597987584
200,3,0.05,0,1,0.6,0.8,2.69121066034497,2.20731789725167
250,3,0.05,0,1,0.6,0.8,2.96556797851552,2.37638963971819
50,6,0.05,0,1,0.6,0.8,3.03736263416993,1.99270193917411
150,6,0.05,0,1,0.6,0.8,2.85998046746354,2.14201845441546
200,6,0.05,0,1,0.6,0.8,2.79869556709302,2.23069163731166
250,6,0.05,0,1,0.6,0.8,2.67710462311587,2.27755301339286
50,9,0.05,0,1,0.6,0.8,3.06227552140977,2.01919446672712
150,9,0.05,0,1,0.6,0.8,2.90447426698962,2.20146560668945
200,9,0.05,0,1,0.6,0.8,2.98591367829377,2.33185958862305
250,9,0.05,0,1,0.6,0.8,2.76111879009153,2.20152337210519
50,3,0.1,0,1,0.6,0.8,3.01948426628493,2.12606539045061
150,3,0.1,0,1,0.6,0.8,3.18219882439626,2.54773875645229
200,3,0.1,0,1,0.6,0.8,2.98853948637968,2.39576939174107
250,3,0.1,0,1,0.6,0.8,3.51385860851473,2.84492601667132
50,6,0.1,0,1,0.6,0.8,2.71993350535572,1.88229642595564
150,6,0.1,0,1,0.6,0.8,3.61298461428776,2.87661470685686
200,6,0.1,0,1,0.6,0.8,3.27072733551005,2.91812351771763
250,6,0.1,0,1,0.6,0.8,3.49608670497066,2.76557540893555
50,9,0.1,0,1,0.6,0.8,2.86558778949592,1.87433624267578
150,9,0.1,0,1,0.6,0.8,2.79706647757165,2.36135591779436
200,9,0.1,0,1,0.6,0.8,2.77811482965299,2.53550556727818
250,9,0.1,0,1,0.6,0.8,3.33524523659664,2.96391187395368
