"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
200,6,0.01,0,3,0.6,0.8,6.91529168975492,5.34321975708008
250,6,0.01,0,3,0.6,0.8,6.70202174976077,5.20958001273019
50,9,0.01,0,3,0.6,0.8,7.63668523706985,5.92398016793387
150,9,0.01,0,3,0.6,0.8,7.15503276701509,5.52862112862723
200,9,0.01,0,3,0.6,0.8,6.9072119929839,5.35483224051339
250,9,0.01,0,3,0.6,0.8,6.70242516360246,5.18453216552734
50,3,0.05,0,3,0.6,0.8,6.66819720515097,5.17393820626395
150,3,0.05,0,3,0.6,0.8,5.08770719712298,4.1620717729841
200,3,0.05,0,3,0.6,0.8,4.50511646596,3.76350239345006
250,3,0.05,0,3,0.6,0.8,4.07830512349953,3.49940817696708
50,6,0.05,0,3,0.6,0.8,6.79398032084615,5.3065310886928
150,6,0.05,0,3,0.6,0.8,5.01070370744482,4.03044945853097
200,6,0.05,0,3,0.6,0.8,4.40846032023573,3.70723996843611
250,6,0.05,0,3,0.6,0.8,4.23555639403642,3.586731501988
50,9,0.05,0,3,0.6,0.8,6.71155063983743,5.23207037789481
150,9,0.05,0,3,0.6,0.8,5.03034127207187,4.02389635358538
200,9,0.05,0,3,0.6,0.8,4.58284556439559,3.87204251970564
250,9,0.05,0,3,0.6,0.8,4.42332262440571,3.65026038033622
50,3,0.1,0,3,0.6,0.8,5.77213254811839,4.59509604317801
